"ID_Caso","Moradia_regular","Moradia_Irregular","Moradia_Emergencial","Moradia_regular_esp","Moradia_Irregular_esp","Moradia_Emergencial_esp","Territorio","Comunidade_tradicional","Comunidade_tradicional_esp","titulado_Incra","Reconhecido_funai","Reconhecido_fund_palmares","Reconhecido_orgao_publico","Estrutura_Mat_predominante","Estrutura_Mat_predominante_esp","Estrutura_Insta_eletricas_hidraulica","Estrutura_Insta_eletricas_hidraulica_esp","Estrutura_Risco_geologico","Estrutura_Risco_geologico_esp","Estrutura_paredes_revesti","Estrutura_Acesso_internet","Estrutura_Acesso_internet_esp","Estrutura_danos_eventos_naturais","Estrutura_danos_eventos_naturais_esp","Fatores_risco_ambiental_infra","Fatores_risco_ambiental_infra_esp","Conflitos_Urbanos_Criminalidade","Conflitos_Urbanos_Criminalidade_esp","Conflitos_fundiarios_Agrarios","Conflitos_fundiarios_Agrarios_esp","Fatores_risco_outros","Fatores_risco_outros_esp","RV_Mudanca_domicilio","RV_Mudanca_domicilio_esp","Tempo_Situacao_Rua","Sit_Rua_Risco_Violencia","Tem_Contato_Familiar","Frequenta_Instituicao_Acolhimento","Especifique_Instituicao_Acolhimento","Expectativas_Futuro","Nomes_Vinculos_Afetivos"
"46","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"49","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"48","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"36","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"39","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"37","True","Falso","Falso",,,," Urbano;",,,,,,,"Alvenaria",,"Sim",,"Não",,"Sim","Sim",,"Não",,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"38","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"45","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"14","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"11","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"13","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"42","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"3","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"22","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"12","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"8","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"32","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"23","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"21","True","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"1","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"25","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
